iter	Passed	Remaining
612	13878	8761
613	13897	8737
614	13917	8712
615	13935	8687
616	13954	8662
617	13974	8638
618	13994	8613
619	14014	8589
620	14034	8565
621	14054	8541
622	14073	8516
623	14092	8491
624	14112	8467
625	14134	8444
626	14160	8423
627	14184	8402
628	14208	8380
629	14227	8355
630	14247	8331
631	14266	8307
632	14285	8282
633	14305	8258
634	14326	8234
635	14345	8210
636	14364	8185
637	14384	8161
638	14407	8139
639	14426	8115
640	14446	8090
641	14466	8066
642	14485	8042
643	14505	8018
644	14524	7994
645	14544	7969
646	14563	7946
647	14582	7921
648	14602	7897
649	14621	7873
650	14641	7849
651	14661	7825
652	14683	7802
653	14703	7778
654	14722	7754
655	14741	7730
656	14759	7705
657	14771	7677
658	14783	7649
659	14797	7622
660	14815	7598
661	14834	7573
662	14852	7549
663	14871	7525
664	14890	7501
665	14907	7476
666	14926	7452
667	14945	7427
668	14963	7403
669	14982	7379
670	15001	7355
671	15019	7331
672	15039	7307
673	15061	7284
674	15082	7261
675	15106	7240
676	15135	7221
677	15160	7199
678	15180	7176
679	15201	7153
680	15221	7130
681	15241	7106
682	15260	7082
683	15280	7059
684	15299	7035
685	15318	7011
686	15336	6987
687	15355	6963
688	15375	6940
689	15394	6916
690	15413	6892
691	15434	6869
692	15454	6846
693	15473	6822
694	15493	6799
695	15513	6775
696	15532	6752
697	15551	6728
698	15569	6704
699	15588	6680
700	15607	6657
701	15630	6635
702	15649	6611
703	15669	6588
704	15706	6572
705	15726	6549
706	15745	6525
707	15764	6501
708	15783	6478
709	15802	6454
710	15821	6430
711	15839	6407
712	15859	6383
713	15878	6360
714	15898	6337
715	15917	6313
716	15936	6290
717	15955	6266
718	15975	6243
719	15994	6220
720	16013	6196
721	16032	6173
722	16052	6149
723	16071	6126
724	16091	6103
725	16113	6081
726	16132	6057
727	16151	6034
728	16170	6011
729	16189	5987
730	16209	5964
731	16228	5941
732	16248	5918
733	16267	5895
734	16287	5872
735	16307	5849
736	16326	5826
737	16344	5802
738	16362	5779
739	16382	5756
740	16401	5732
741	16419	5709
742	16438	5686
743	16457	5662
744	16475	5639
745	16493	5615
746	16512	5592
747	16530	5569
748	16549	5546
749	16567	5522
750	16588	5499
751	16606	5476
752	16624	5453
753	16644	5430
754	16665	5407
755	16683	5384
756	16702	5361
757	16720	5338
758	16739	5315
759	16759	5292
760	16778	5269
761	16797	5246
762	16816	5223
763	16835	5200
764	16853	5177
765	16872	5154
766	16890	5130
767	16908	5107
768	16927	5084
769	16946	5062
770	16966	5039
771	16986	5016
772	17005	4993
773	17024	4970
774	17043	4947
775	17070	4927
776	17090	4905
777	17110	4882
778	17128	4859
779	17151	4837
780	17171	4815
781	17189	4792
782	17209	4769
783	17228	4746
784	17247	4723
785	17267	4701
786	17286	4678
787	17320	4659
788	17345	4638
789	17365	4616
790	17384	4593
791	17402	4570
792	17421	4547
793	17440	4524
794	17459	4502
795	17479	4479
796	17497	4456
797	17515	4433
798	17535	4411
799	17553	4388
800	17572	4365
801	17591	4343
802	17611	4320
803	17630	4297
804	17648	4275
805	17667	4252
806	17686	4229
807	17704	4206
808	17722	4184
809	17741	4161
810	17760	4138
811	17779	4116
812	17798	4093
813	17816	4071
814	17836	4048
815	17855	4026
816	17873	4003
817	17891	3980
818	17909	3958
819	17928	3935
820	17946	3912
821	17966	3890
822	17986	3868
823	18005	3845
824	18024	3823
825	18043	3800
826	18063	3778
827	18082	3756
828	18101	3733
829	18120	3711
830	18139	3689
831	18158	3666
832	18178	3644
833	18197	3622
834	18217	3599
835	18240	3578
836	18263	3556
837	18283	3534
838	18305	3512
839	18325	3490
840	18344	3468
841	18364	3446
